선수명,포지션,타율,타석,타수,득점,안타,2루타,3루타,홈런,타점,사구,볼넷,삼진,병살타,고의4구,희생번트,희생플라이,출루율,장타율,OPS,타순,팀명,1루타,도루허용,도루저지,수비 승리 기여도,득점권타율,추정득점
정수빈,중견수,0.271,336,284,59,77,10,3,3,23,6,38,40,6,1,4,4,0.364,0.359,0.723,1,두산,61,37,5,0.59,0.263,45.54
정수빈,중견수,0.333,37,30,5,10,2,0,0,5,0,3,3,0,0,2,2,0.371,0.4,0.771,2,두산,8,37,5,0.59,0.263,10.516
허경민,3루수,0.331,288,254,48,84,17,0,4,38,11,19,16,4,0,0,4,0.396,0.445,0.841,2,두산,63,3,0,0.38,0.315,44.812000000000005
전민재,2루수,0.276,30,29,3,8,0,0,0,3,1,0,7,0,0,0,0,0.3,0.276,0.576,2,두산,8,4,2,-0.013,0.359,2.474
이유찬,2루수,0.217,25,23,3,5,0,0,0,1,0,2,7,1,0,0,0,0.28,0.217,0.497,2,두산,5,9,4,0.271,0.242,1.4739999999999993
조수행,좌익수,0.133,19,15,4,2,0,0,0,1,0,1,2,0,0,2,1,0.176,0.133,0.309,2,두산,2,45,6,0.471,0.19,6.784
양의지,포수,0.314,208,188,24,59,8,0,6,44,3,13,22,5,0,0,4,0.361,0.452,0.813,3,두산,45,2,0,0.465,0.431,30.543999999999993
강승호,2루수,0.267,125,120,14,32,8,3,2,18,1,2,39,0,0,1,1,0.282,0.433,0.715,3,두산,19,13,5,0.881,0.269,15.197999999999995
허경민,3루수,0.25,13,12,2,3,0,0,1,2,0,1,0,2,0,0,0,0.308,0.5,0.808,3,두산,2,3,0,0.38,0.315,1.7699999999999998
양의지,포수,0.379,138,124,16,47,4,0,6,29,3,9,12,4,2,0,2,0.428,0.556,0.984,4,두산,37,2,0,0.465,0.431,26.513999999999996
강승호,2루수,0.288,68,59,9,17,2,0,2,8,0,8,20,0,3,0,1,0.368,0.424,0.792,5,두산,13,13,5,0.881,0.269,10.44
양석환,1루수,0.215,292,260,41,56,12,0,13,49,2,28,57,12,0,0,2,0.295,0.412,0.707,5,두산,31,5,3,-0.589,0.3,30.484000000000005
양석환,1루수,0.368,94,87,13,32,5,1,8,21,1,6,23,1,1,0,0,0.415,0.724,1.139,6,두산,18,5,3,-0.589,0.3,21.885999999999996
강승호,2루수,0.331,134,124,23,41,10,3,8,23,1,8,35,3,0,0,1,0.373,0.653,1.026,6,두산,20,13,5,0.881,0.269,27.149999999999995
김기연,포수,0.15,25,20,4,3,0,0,1,2,1,3,3,0,0,0,1,0.28,0.3,0.58,6,두산,2,0,2,0.572,0.278,1.9759999999999995
박준영,유격수,0.083,13,12,2,1,0,0,0,1,0,0,4,1,0,0,1,0.077,0.083,0.16,6,두산,1,2,0,1.01,0.185,-0.16200000000000003
허경민,3루수,0.435,26,23,3,10,2,0,1,6,1,1,2,0,0,0,1,0.462,0.652,1.114,7,두산,7,3,0,0.38,0.315,6.783999999999999
김기연,포수,0.296,59,54,7,16,5,0,1,6,1,4,11,1,0,0,0,0.356,0.444,0.8,7,두산,10,0,2,0.572,0.278,7.221999999999998
전민재,2루수,0.246,64,57,11,14,1,0,1,9,1,3,13,3,0,2,1,0.29,0.316,0.606,7,두산,12,4,2,-0.013,0.359,4.966
강승호,2루수,0.22,65,59,7,13,4,0,1,5,2,4,16,0,0,0,0,0.292,0.339,0.631,7,두산,8,13,5,0.881,0.269,6.832000000000001
박준영,유격수,0.107,62,56,3,6,0,0,1,4,1,5,17,0,0,0,0,0.194,0.161,0.355,7,두산,5,2,0,1.01,0.185,1.7040000000000008
박준영,유격수,0.358,61,53,9,19,6,1,2,8,0,7,16,0,0,1,0,0.433,0.623,1.056,8,두산,10,2,0,1.01,0.185,12.831999999999999
이유찬,2루수,0.358,63,53,9,19,3,0,1,6,1,8,7,3,0,1,0,0.452,0.472,0.924,8,두산,15,9,4,0.271,0.242,10.314
전민재,2루수,0.341,51,44,7,15,3,0,1,7,0,6,10,1,1,0,1,0.412,0.477,0.889,8,두산,11,4,2,-0.013,0.359,8.440000000000001
김기연,포수,0.27,71,63,9,17,0,0,2,8,0,6,9,2,0,1,1,0.329,0.365,0.694,8,두산,15,0,2,0.572,0.278,7.237999999999998
조수행,좌익수,0.222,12,9,2,2,0,0,0,0,1,2,2,0,1,0,0,0.417,0.222,0.639,8,두산,2,45,6,0.471,0.19,7.4639999999999995
조수행,좌익수,0.282,205,181,29,51,1,2,0,15,0,17,25,2,0,5,2,0.34,0.309,0.649,9,두산,48,45,6,0.471,0.19,27.06
전민재,2루수,0.278,18,18,0,5,1,0,0,4,0,0,3,0,0,0,0,0.278,0.333,0.611,9,두산,4,4,2,-0.013,0.359,1.6059999999999994
박준영,유격수,0.263,45,38,9,10,1,1,2,8,1,6,11,0,0,0,0,0.378,0.5,0.878,9,두산,6,2,0,1.01,0.185,7.771999999999999
정수빈,중견수,0.235,18,17,2,4,0,0,0,2,0,1,2,1,0,0,0,0.278,0.235,0.513,9,두산,4,37,5,0.59,0.263,5.844
이유찬,2루수,0.111,20,18,1,2,0,0,0,0,0,2,7,0,0,0,0,0.2,0.111,0.311,9,두산,2,9,4,0.271,0.242,0.5239999999999995
